dataset,target,epsilon,seed,stuck_value,true_bucket,fault_rate,mode,method,n_test,auroc,auprc,r_error,bucket_error,bucket_acc,js,wasserstein,runtime_sec
UCI Air Quality,C6H6(GT),1.2,0,0.84375,29,0.3,iid,random,1799,0.5003191833612802,0.2921324728825127,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,1,0.84375,29,0.3,iid,mixture,1799,0.7399677874856588,0.5209945798788762,0.051509433962264095,0,1.0,0.04296587700276243,0.10183109115356266,0.012139116006437689
UCI Air Quality,C6H6(GT),1.2,1,0.84375,29,0.3,iid,hmm,1799,0.6129732592004236,0.3817780256325333,0.15969621402316167,0,1.0,0.04296587700276243,0.10183109115356266,0.3668131390004419
UCI Air Quality,C6H6(GT),1.2,1,0.84375,29,0.3,iid,random,1799,0.4956976436325126,0.29168324278799584,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,2,0.84375,29,0.3,iid,mixture,1799,0.7588349071867738,0.5547533927240123,0.03660377358490563,0,1.0,0.04296587700276243,0.10183109115356266,0.012121888998080976
UCI Air Quality,C6H6(GT),1.2,2,0.84375,29,0.3,iid,hmm,1799,0.62889271320566,0.4133988661108099,0.13669623642320286,1,0.0,0.04296587700276243,0.10183109115356266,0.36717339800088666
UCI Air Quality,C6H6(GT),1.2,2,0.84375,29,0.3,iid,random,1799,0.47832789103638984,0.2915444540412683,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,3,0.84375,29,0.3,iid,mixture,1799,0.7619333392168975,0.5282238966104619,0.02301886792452834,0,1.0,0.04296587700276243,0.10183109115356266,0.01211902299837675
UCI Air Quality,C6H6(GT),1.2,3,0.84375,29,0.3,iid,hmm,1799,0.6378460271232312,0.4083300532059259,0.08499003421855728,0,1.0,0.04296587700276243,0.10183109115356266,0.367234149001888
UCI Air Quality,C6H6(GT),1.2,3,0.84375,29,0.3,iid,random,1799,0.4953313917571264,0.2970137712182609,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,4,0.84375,29,0.3,iid,mixture,1799,0.7684935133703998,0.5527429903270039,0.02169811320754711,0,1.0,0.04296587700276243,0.10183109115356266,0.01216992299305275
UCI Air Quality,C6H6(GT),1.2,4,0.84375,29,0.3,iid,hmm,1799,0.6253066807872208,0.39946565453661287,0.12850778467633064,0,1.0,0.04296587700276243,0.10183109115356266,0.36764066899195313
UCI Air Quality,C6H6(GT),1.2,4,0.84375,29,0.3,iid,random,1799,0.5150310358014886,0.3119917663301416,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.4,0,0.03125,16,0.3,segment,mixture,1799,0.7413820492454329,0.5086337905268075,0.06641509433962259,1,0.0,0.04296587700276243,0.10183109115356266,0.012152832001447678
UCI Air Quality,C6H6(GT),1.4,0,0.03125,16,0.3,segment,hmm,1799,0.9631806548407026,0.8876381406769838,0.008277355869568515,0,1.0,0.04296587700276243,0.10183109115356266,0.367701594994287
UCI Air Quality,C6H6(GT),1.4,0,0.03125,16,0.3,segment,random,1799,0.491518842114553,0.2957488736472729,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.4,1,0.03125,16,0.3,segment,mixture,1799,0.7362596711087577,0.49812583307607805,0.0912578616352201,0,1.0,0.04296587700276243,0.10183109115356266,0.012054717997671105
UCI Air Quality,C6H6(GT),1.4,1,0.03125,16,0.3,segment,hmm,1799,0.9603285970641013,0.8870648217794895,0.020892969439459452,0,1.0,0.04296587700276243,0.10183109115356266,0.3674891969858436
UCI Air Quality,C6H6(GT),1.4,1,0.03125,16,0.3,segment,random,1799,0.5212205454064073,0.31090206581528385,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.4,2,0.03125,16,0.3,segment,mixture,1799,0.6876864354425911,0.4632635777713696,0.12603773584905656,3,0.0,0.04296587700276243,0.10183109115356266,0.012146452005254105
UCI Air Quality,C6H6(GT),1.4,2,0.03125,16,0.3,segment,hmm,1799,0.9215470832230164,0.8686411886157159,0.025507566909649282,0,1.0,0.04296587700276243,0.10183109115356266,0.3664493050018791
UCI Air Quality,C6H6(GT),1.4,2,0.03125,16,0.3,segment,random,1799,0.48461300856058603,0.29035758971253567,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.4,3,0.03125,16,0.3,segment,mixture,1799,0.7555754125849441,0.5381916480787444,0.06641509433962259,0,1.0,0.04296587700276243,0.10183109115356266,0.012081935987225734
UCI Air Quality,C6H6(GT),1.4,3,0.03125,16,0.3,segment,hmm,1799,0.9534757155885035,0.9080815848591869,0.008048750663439685,0,1.0,0.04296587700276243,0.10183109115356266,0.367951312000514
UCI Air Quality,C6H6(GT),1.4,3,0.03125,16,0.3,segment,random,1799,0.504321477951343,0.3040456585632596,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.4,4,0.03125,16,0.3,segment,mixture,1799,0.7195716765216368,0.4931609787819908,0.14591194968553456,2,0.0,0.04296587700276243,0.10183109115356266,0.012181123995105736
UCI Air Quality,C6H6(GT),1.4,4,0.03125,16,0.3,segment,hmm,1799,0.9516988791810079,0.892681301463276,0.07209944854232817,1,0.0,0.04296587700276243,0.10183109115356266,0.3667710160079878
UCI Air Quality,C6H6(GT),1.4,4,0.03125,16,0.3,segment,random,1799,0.5022225164004354,0.30550952088031835,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.4,0,0.03125,16,0.3,iid,mixture,1799,0.7586444267937518,0.5382729948533025,0.12106918238993708,1,0.0,0.04296587700276243,0.10183109115356266,0.012155243995948695
