panel,dataset_id,dataset,epsilon,seed,method,auroc,auprc,runtime_sec,train_rows,test_rows,positive_frames,official_windows,label_source
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,2,privsaf_hmm_scan,0.562495697026611,0.22395258004918878,1.5660116000071866,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,0,pm_window_iforest,0.622082813534148,0.23185608538537122,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,0,pm_window_lof,0.5731468757429801,0.31213483631636185,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,0,pm_subseq_nn,0.354886295936249,0.1461708446834194,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,0,ldp_postmean_iforest,0.5956577375952735,0.22149399330318292,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,0,ldp_postmean_lof,0.4270725185268822,0.18289793316331196,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,0,ldp_postmean_subseq_nn,0.4286908955049878,0.17510599389692286,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,0,privsaf_hmm_scan,0.6235809367492746,0.24567577470946714,1.4891542000113986,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,1,pm_window_iforest,0.6579427610447572,0.2649980200556749,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,1,pm_window_lof,0.5933908164679726,0.2521068772827534,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,1,pm_subseq_nn,0.5203605226173461,0.2007909871618016,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,1,ldp_postmean_iforest,0.5947165912556237,0.23655630834569585,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,1,ldp_postmean_lof,0.45271594500639367,0.19647994431810667,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,1,ldp_postmean_subseq_nn,0.554002660270268,0.20856035669526007,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,1,privsaf_hmm_scan,0.6180965389865453,0.2490214351528922,1.5040638000064064,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,2,pm_window_iforest,0.6467637509259998,0.2711988942049449,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,2,pm_window_lof,0.5789185973821398,0.27101465246265616,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,2,pm_subseq_nn,0.5958500518192742,0.25016995189145297,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,2,ldp_postmean_iforest,0.5886192205903817,0.23502949436763132,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,2,ldp_postmean_lof,0.504671078419223,0.22658623787252788,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,2,ldp_postmean_subseq_nn,0.6184825443860311,0.2536056950950978,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,4.0,2,privsaf_hmm_scan,0.6068661226790335,0.24521066688563575,1.4352887999993982,3540,3727,726,2,NAB combined_windows.json
