station_id,label_code,label,n_rows_full,positive_rows_full,fault_rate_full,negative_rows_full,eligible_for_pmldp,sample_rule,n_rows_sample,positive_rows_sample,fault_rate_sample,station_url
070340-99999,DSS,dew point straight string,10929,0,0.0,10929,0,full,10929,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_070340-99999.nc.gz
070340-99999,PSS,sea-level pressure straight string,10934,0,0.0,10934,0,full,10934,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_070340-99999.nc.gz
025300-99999,TSS,temperature straight string,47245,0,0.0,47245,0,full,47245,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025300-99999.nc.gz
025300-99999,DSS,dew point straight string,47137,0,0.0,47137,0,full,47137,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025300-99999.nc.gz
025300-99999,PSS,sea-level pressure straight string,71,0,0.0,71,0,full,71,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025300-99999.nc.gz
085944-99999,TSS,temperature straight string,70965,324,0.004565630944831959,70641,1,stratified_cap_50000,50000,228,0.00456,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_085944-99999.nc.gz
085944-99999,DSS,dew point straight string,70950,43,0.0006060606060606061,70907,0,stratified_cap_50000,50000,30,0.0006,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_085944-99999.nc.gz
085944-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_085944-99999.nc.gz
033723-99999,TSS,temperature straight string,17663,61,0.0034535469625771387,17602,1,full,17663,61,0.0034535469625771387,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_033723-99999.nc.gz
033723-99999,DSS,dew point straight string,17003,96,0.005646062459565959,16907,1,full,17003,96,0.005646062459565959,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_033723-99999.nc.gz
033723-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_033723-99999.nc.gz
031180-99999,TSS,temperature straight string,39765,67,0.001684898780334465,39698,1,full,39765,67,0.001684898780334465,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031180-99999.nc.gz
031180-99999,DSS,dew point straight string,39734,18,0.00045301253334675595,39716,0,full,39734,18,0.00045301253334675595,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031180-99999.nc.gz
031180-99999,PSS,sea-level pressure straight string,24,0,0.0,24,0,full,24,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031180-99999.nc.gz
025240-99999,TSS,temperature straight string,44643,20,0.00044799856640458753,44623,0,full,44643,20,0.00044799856640458753,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025240-99999.nc.gz
025240-99999,DSS,dew point straight string,44543,0,0.0,44543,0,full,44543,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025240-99999.nc.gz
025240-99999,PSS,sea-level pressure straight string,7434,17,0.0022867904223836427,7417,0,full,7434,17,0.0022867904223836427,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025240-99999.nc.gz
039250-99999,TSS,temperature straight string,5574,0,0.0,5574,0,full,5574,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039250-99999.nc.gz
039250-99999,DSS,dew point straight string,5555,0,0.0,5555,0,full,5555,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039250-99999.nc.gz
039250-99999,PSS,sea-level pressure straight string,38272,0,0.0,38272,0,full,38272,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039250-99999.nc.gz
025080-99999,TSS,temperature straight string,46738,0,0.0,46738,0,full,46738,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025080-99999.nc.gz
025080-99999,DSS,dew point straight string,46561,0,0.0,46561,0,full,46561,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025080-99999.nc.gz
025080-99999,PSS,sea-level pressure straight string,16735,0,0.0,16735,0,full,16735,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025080-99999.nc.gz
