panel,dataset_id,dataset,case,epsilon,seed,method,feature_aggregation,calibration,n_rows,n_test,fault_rate,auroc,auprc,runtime_sec
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,0,pm_window_glr,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.8163031631054293,0.4896396988077227,0.11104279996652622
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,0,privsaf_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.5525500124889303,0.2556183077155412,2.5935266000014963
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,0,privsaf_mixture,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.46843933785962444,0.18749284834125673,0.04359100000874605
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,1,generic_pm_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.46012909012466224,0.1810172356114088,0.6494224999914877
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,1,pm_column_likelihood_scan,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.5632950339471832,0.23681970038893385,0.0021287999843480065
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,1,pm_llr_cusum,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.4494913599309702,0.17082532327076666,0.020977699998184107
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,1,pm_window_glr,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.6100439383273917,0.27849405724453896,0.1116020000044955
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,1,privsaf_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.46431912622902427,0.18757115200211077,2.569759100006195
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,1,privsaf_mixture,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.44926372079293353,0.17814570008159933,0.043827000001329
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,2,generic_pm_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.4655810758645746,0.18540056857865633,0.6490180000109831
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,2,pm_column_likelihood_scan,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.5696536024887031,0.26566629378462264,0.0017642000020714477
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,2,pm_llr_cusum,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.45364960603101795,0.17183778984293052,0.020889599996735342
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,2,pm_window_glr,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.7302992801834738,0.3690076927125391,0.1099638000014238
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,2,privsaf_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.4591424646336203,0.19337949753038056,2.602525800000876
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,2,privsaf_mixture,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.46210177342809783,0.18532983434314743,0.04465279998839833
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,4.0,0,generic_pm_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.5001237539453666,0.19772379531187667,0.6550789000175428
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,4.0,0,pm_column_likelihood_scan,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.6734706737210201,0.30597035613179346,0.0017235000123037025
