panel,dataset_id,dataset,mechanism,mechanism_label,fault_mode,epsilon,seed,method,n_test,fault_rows,fault_rate,auroc,auprc,estimated_bucket,estimated_fault_rate,runtime_sec,param_stuck_value,param_segment_length,param_bias,param_scale_factor,param_spike_magnitude
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,0,privsaf_mixture,1200,240,0.2,0.6890624999999999,0.3125414691943128,16,0.1006060606060606,0.011861899998621084,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,0,privsaf_hmm,1200,240,0.2,0.9633333333333333,0.8584069738096639,23,0.2233510809151751,0.37025040001026355,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,1,channel_window_glr,1200,240,0.2,0.9728103298611112,0.8860005428243309,22,0.195,0.014830000000074506,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,1,channel_spike_score,1200,240,0.2,0.38363281250000003,0.18322115118013843,0,0.12935376281650335,0.0008709999965503812,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,1,privsaf_mixture,1200,240,0.2,0.8426085069444444,0.5365958914685104,22,0.12848484848484848,0.012286800003494136,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,1,privsaf_hmm,1200,240,0.2,0.9996875,0.9988136246790911,22,0.20074797475300643,0.36386209999909624,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,1,channel_window_glr,1200,240,0.2,0.7721723090277778,0.5857094850554191,29,0.19666666666666666,0.014133600008790381,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,1,channel_spike_score,1200,240,0.2,0.5658051215277776,0.2305005787037037,0,0.07462185300604038,0.0006629999988945201,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,1,privsaf_mixture,1200,240,0.2,0.2869791666666667,0.1658750508750509,7,0.4490909090909091,0.012150099995778874,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,1,privsaf_hmm,1200,240,0.2,0.994240451388889,0.9752667978455428,23,0.16566377281651395,0.3689204999973299,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,2,channel_window_glr,1200,240,0.2,0.9534157986111111,0.7396428596157452,22,0.19083333333333333,0.01515089999884367,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,2,channel_spike_score,1200,240,0.2,0.3407790798611111,0.19256757071670144,0,0.13308693671916913,0.0009079000010387972,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,2,privsaf_mixture,1200,240,0.2,0.39975694444444443,0.16408520988754324,0,0.17030303030303032,0.011638500000117347,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,2,privsaf_hmm,1200,240,0.2,0.9999175347222222,0.9996687976888641,22,0.19879226743878872,0.3642074999952456,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,2,channel_window_glr,1200,240,0.2,0.9618207465277778,0.8384145435848812,27,0.19083333333333333,0.014493299997411668,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,2,channel_spike_score,1200,240,0.2,0.5240993923611111,0.20915767386091128,0,0.07203530697463517,0.0005371000006562099,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,2,privsaf_mixture,1200,240,0.2,0.7067708333333333,0.33054942810457516,10,0.17727272727272728,0.012555300010717474,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,2,privsaf_hmm,1200,240,0.2,0.9951171875,0.9825857463444586,24,0.17642356155847844,0.3662183999986155,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,0,channel_window_glr,1200,240,0.2,0.31949001736111116,0.1540143206769794,24,0.19416666666666665,0.014577099995221943,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,0,channel_spike_score,1200,240,0.2,0.5099435763888889,0.21411552182222357,0,0.04010266242834903,0.0005464999994728714,,48.0,0.35,,
