dataset,stream,fault_mode,stuck_value_type,epsilon,seed,method,AUROC,AUPRC,TV_sep,KL_sep,ratio_MAE,bucket_hit1,calibration_condition,fault_rate,target_fault_rate,segment_length,stuck_value,true_bucket,calibration_train_TV_sep
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_window_glr,0.5149652777777779,0.1422763499663222,0.042927131967938084,0.005616884757036368,0.05249999999999999,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_distribution_surprise,0.48064814814814816,0.10162401561231617,0.042927131967938084,0.005616884757036368,,,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_hmm,0.30714506172839506,0.06776105451150408,0.04960673059035535,0.006942357829315035,0.032257818669009675,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_mixture,0.4550771604938272,0.08754106254491287,0.04960673059035535,0.006942357829315035,0.4745454545454546,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_window_glr,0.5307870370370371,0.14718013891591358,0.04960673059035535,0.006942357829315035,0.0925,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_distribution_surprise,0.47988425925925926,0.10142817839744339,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_hmm,0.2925617283950618,0.06585150428296407,0.042927131967938084,0.005616884757036368,0.016424043505882363,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_mixture,0.4553780864197531,0.08841450707951808,0.042927131967938084,0.005616884757036368,0.3490909090909091,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_window_glr,0.5138850308641976,0.12299768887870703,0.042927131967938084,0.005616884757036368,0.06916666666666665,0.0,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_distribution_surprise,0.49592592592592594,0.10257002032985565,0.042927131967938084,0.005616884757036368,,,matched_train,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_hmm,0.29861111111111116,0.06621820520283593,0.04960673059035535,0.006942357829315035,0.018822807698541194,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_mixture,0.45781635802469134,0.08965345626518537,0.04960673059035535,0.006942357829315035,0.36303030303030304,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_window_glr,0.49238811728395065,0.1105543786601422,0.04960673059035535,0.006942357829315035,0.0975,0.0,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_distribution_surprise,0.49516203703703704,0.10242611287960515,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.1,0.1,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_hmm,0.3839969135802469,0.07619930382393504,0.042927131967938084,0.005616884757036368,0.02836023279762101,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_mixture,0.4583757716049383,0.09342465888819032,0.042927131967938084,0.005616884757036368,0.13303030303030303,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_window_glr,0.4344753086419753,0.09639133120454327,0.042927131967938084,0.005616884757036368,0.07,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_distribution_surprise,0.4493094135802469,0.09321766144458962,0.042927131967938084,0.005616884757036368,,,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_hmm,0.3988888888888889,0.07815521585031007,0.04960673059035535,0.006942357829315035,0.028806587458408,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_mixture,0.46272762345679014,0.09428810768418922,0.04960673059035535,0.006942357829315035,0.13999999999999999,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_window_glr,0.4765625,0.10250922743664512,0.04960673059035535,0.006942357829315035,0.07499999999999998,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
