dataset,stream,epsilon,seed,fault_mode,fault_rate,segment_length,repair_method,mask_source,review_budget_points,block_size_for_hourly_mean,mae,rmse,fault_point_mae,clean_point_mae,false_clean_repair_fraction,downstream_mean_abs_error,downstream_hourly_mean_abs_error,downstream_p95_abs_error,downstream_exceedance_count_abs_error,downstream_exceedance_rate_abs_error,exceedance_threshold_q90
household_power,Global_active_power hourly sample,2.0,1,segment_stuck,0.2,48,no_repair,none,240,24,0.18400256620789274,0.4420604795463005,0.9200128310394636,0.0,0.0,0.1758710338267932,0.17587103382679323,0.0887333447146153,209.0,0.17416666666666666,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,1,segment_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.2799284690246817,0.3882779609123101,0.4146360614019908,0.2462515709303545,0.8,0.004760616357740055,0.09584066808084402,0.558230328404219,120.0,0.1,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,1,segment_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.13157160774323526,0.3507757504758561,0.6422745522159276,0.003895871625062172,0.005,0.09281469580816587,0.1094120480324147,0.0887333447146153,85.0,0.07083333333333333,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,1,segment_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.09510463119146803,0.276942675961671,0.4755231559573402,0.0,0.0,0.023532587046476316,0.0823345075740545,0.062326615888898707,17.0,0.014166666666666666,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,2,iid_stuck,0.2,48,no_repair,none,240,24,0.1867965623111589,0.4431040345703925,0.9339828115557945,0.0,0.0,0.18329417630688277,0.1832941763068828,0.0887333447146153,219.0,0.1825,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,2,iid_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.28419912920509094,0.3908669736381119,0.37614325715132224,0.26121309721853314,0.8,0.0063335375985620335,0.08848730123062282,0.558230328404219,120.0,0.1,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,2,iid_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.14965155327387974,0.3632215357350354,0.5851661740423693,0.040772898081757346,0.09083333333333334,0.08882006939871617,0.10316766456112973,0.0887333447146153,89.0,0.07416666666666667,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,2,iid_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.04712415803360368,0.1635063032462778,0.23562079016801843,0.0,0.0,0.0010447609524506518,0.02545286659241735,0.0,1.0,0.0008333333333333334,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,2,segment_stuck,0.2,48,no_repair,none,240,24,0.1859120538605577,0.44234351067580485,0.9295602693027886,0.0,0.0,0.17965672565964014,0.17965672565964017,0.0887333447146153,215.0,0.17916666666666667,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,2,segment_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.27587431677912105,0.3802801443111394,0.3895172265644407,0.24746358933279114,0.8,0.01589600168390315,0.10428073985458151,0.558230328404219,120.0,0.1,-0.024307164516417557
