panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,dropout_rows,dropout_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_symbol,estimated_dropout_rate,runtime_sec
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6049445999960881
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,9.349999891128391e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0009025000035762787
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6928565999987768
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00012339999375399202
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0008919999963836744
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6438963999971747
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00013070000568404794
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0008803000091575086
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6921442000020761
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00020870000298600644
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0010326000046916306
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999999999999999,1.0,1.0,1.0,32,0.2751587851717066,0.620006299999659
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00010089999705087394
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.001745899993693456
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,4.0,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.5957354999991367
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,1.0,1.0,1.0,1.0,32,0.2800482875445394,0.00014960000407882035
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9996683575762085,0.9989447182062976,1.0,0.9884585969547383,32,0.2800482875445394,0.0010392999975010753
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,0.9999986743779835,0.9999965789692576,1.0,0.9996523673781548,32,0.2786565441988139,0.5589392999972915
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2013,0.5,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,51359,14383,0.2800482875445394,0.0,2.54,1.0,1.0,1.0,1.0,32,0.2800482875445394,0.00011249999806750566
