dataset_id,dataset,epsilon,segment_len,stuck_bin,stuck_value,output_bin_for_value,kl_qs_r,chernoff_qs_r,bucket_p_under_fault,bucket_p_under_normal,bucket_delta,bucket_auc,llr_auc,llr_auprc,auroc_gap,hard_case_flag
air_quality,UCI Air Quality,1.0,32,0,-0.96875,12,0.0838906927730833,0.02130059581442959,0.031738214137765335,0.04801971932874915,-0.016281505190983814,0.3718365,0.9543149999999999,0.9536407210527803,0.5824784999999999,1.0
air_quality,UCI Air Quality,1.0,64,0,-0.96875,12,0.0838906927730833,0.02130059581442959,0.031738214137765335,0.04801971932874915,-0.016281505190983814,0.32425800000000005,0.991344,0.9914356294432722,0.667086,1.0
air_quality,UCI Air Quality,1.0,8,1,-0.90625,12,0.07200258628442212,0.01843612724415351,0.05152253970937899,0.04801971932874915,0.003502820380629844,0.507284,0.790916,0.7841900642744444,0.283632,1.0
air_quality,UCI Air Quality,1.0,16,1,-0.90625,12,0.07200258628442212,0.01843612724415351,0.05152253970937899,0.04801971932874915,0.003502820380629844,0.5260905,0.857348,0.8567797955783811,0.3312575,1.0
air_quality,UCI Air Quality,1.0,32,1,-0.90625,12,0.07200258628442212,0.01843612724415351,0.05152253970937899,0.04801971932874915,0.003502820380629844,0.5238349999999999,0.9342309999999999,0.9326274856775947,0.410396,1.0
air_quality,UCI Air Quality,1.0,64,1,-0.90625,12,0.07200258628442212,0.01843612724415351,0.05152253970937899,0.04801971932874915,0.003502820380629844,0.55278,0.9835160000000001,0.9825861858022297,0.430736,0.0
air_quality,UCI Air Quality,1.0,8,8,-0.46875,14,0.026727129028135826,0.006888474909625849,0.051522539709378985,0.04172770155126898,0.009794838158110004,0.537395,0.7179230000000001,0.7080926339007417,0.18052800000000013,1.0
air_quality,UCI Air Quality,1.0,16,8,-0.46875,14,0.026727129028135826,0.006888474909625849,0.051522539709378985,0.04172770155126898,0.009794838158110004,0.5791649999999999,0.765775,0.7643772081363287,0.18661000000000005,0.0
air_quality,UCI Air Quality,1.0,32,8,-0.46875,14,0.026727129028135826,0.006888474909625849,0.051522539709378985,0.04172770155126898,0.009794838158110004,0.561639,0.7987019999999999,0.7895801487160017,0.2370629999999999,0.0
air_quality,UCI Air Quality,1.0,64,8,-0.46875,14,0.026727129028135826,0.006888474909625849,0.051522539709378985,0.04172770155126898,0.009794838158110004,0.5912165,0.8945799999999999,0.8902765551479191,0.3033634999999999,0.0
air_quality,UCI Air Quality,1.0,8,16,0.03125,16,0.09976007356434902,0.025759817524497245,0.051522539709379075,0.03510373199659615,0.016418807712782924,0.549021,0.8281810000000001,0.8270393397061315,0.2791600000000001,1.0
air_quality,UCI Air Quality,1.0,16,16,0.03125,16,0.09976007356434902,0.025759817524497245,0.051522539709379075,0.03510373199659615,0.016418807712782924,0.5665880000000001,0.9024449999999999,0.9020119123321714,0.33585699999999985,0.0
air_quality,UCI Air Quality,1.0,32,16,0.03125,16,0.09976007356434902,0.025759817524497245,0.051522539709379075,0.03510373199659615,0.016418807712782924,0.606813,0.963154,0.9620439083335601,0.3563409999999999,0.0
air_quality,UCI Air Quality,1.0,64,16,0.03125,16,0.09976007356434902,0.025759817524497245,0.051522539709379075,0.03510373199659615,0.016418807712782924,0.657075,0.9951349999999999,0.9952683706205459,0.3380599999999999,0.0
air_quality,UCI Air Quality,1.0,8,24,0.53125,18,0.22083024354199396,0.056700585373152444,0.051522539709379075,0.029609850952726974,0.0219126887566521,0.5664859999999999,0.9121049999999999,0.9122120147629466,0.345619,0.0
air_quality,UCI Air Quality,1.0,16,24,0.53125,18,0.22083024354199396,0.056700585373152444,0.051522539709379075,0.029609850952726974,0.0219126887566521,0.6075295000000001,0.975656,0.9758395546253136,0.3681264999999999,0.0
air_quality,UCI Air Quality,1.0,32,24,0.53125,18,0.22083024354199396,0.056700585373152444,0.051522539709379075,0.029609850952726974,0.0219126887566521,0.6599849999999999,0.995776,0.9957655705341075,0.33579100000000006,0.0
air_quality,UCI Air Quality,1.0,64,24,0.53125,18,0.22083024354199396,0.056700585373152444,0.051522539709379075,0.029609850952726974,0.0219126887566521,0.724545,0.999942,0.9999420892004359,0.275397,0.0
air_quality,UCI Air Quality,1.0,8,30,0.90625,19,0.29013896685298074,0.0731004304578191,0.051522539709378895,0.0277528246643452,0.023769715045033696,0.5687040000000001,0.9371160000000001,0.9359442413743405,0.36841199999999996,0.0
air_quality,UCI Air Quality,1.0,16,30,0.90625,19,0.29013896685298074,0.0731004304578191,0.051522539709378895,0.0277528246643452,0.023769715045033696,0.6188565,0.9857960000000001,0.9863378491123757,0.3669395000000001,0.0
air_quality,UCI Air Quality,1.0,32,30,0.90625,19,0.29013896685298074,0.0731004304578191,0.051522539709378895,0.0277528246643452,0.023769715045033696,0.6797845,0.9985700000000001,0.9984802882995921,0.31878550000000005,0.0
air_quality,UCI Air Quality,1.0,64,30,0.90625,19,0.29013896685298074,0.0731004304578191,0.051522539709378895,0.0277528246643452,0.023769715045033696,0.748777,0.999988,0.999988059622491,0.25121099999999996,0.0
air_quality,UCI Air Quality,1.0,8,31,0.96875,19,0.29200398423165996,0.07350870711518079,0.031738214137765244,0.0277528246643452,0.003985389473420045,0.534563,0.9366169999999999,0.9339947111591641,0.4020539999999999,1.0
