dataset,stream,fault_mode,stuck_value_type,epsilon,method,calibration_condition,rows,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,TV_sep_mean,KL_sep_mean,ratio_MAE_mean,bucket_hit1_mean,fault_rate_mean,segment_length_min,segment_length_max
nab,value,segment_stuck,min_tv_column,1.0,privsaf_mixture,matched_train,12,0.4706956458468703,0.031591707707180394,0.07153867243837687,0.024099176630897983,0.07919215719736539,0.017926918806133327,0.10042929292929292,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,2.0,ldp_distribution_surprise,matched_train,12,0.4219478117554689,0.02851303705501119,0.0668921188728007,0.0241656614792887,0.22947695278021815,0.13142334743887946,,,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,2.0,ldp_window_glr,matched_train,12,0.4737876157407408,0.07837087011454671,0.07996478163236329,0.033400646893806285,0.22947695278021815,0.13142334743887946,0.10805555555555556,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,2.0,privsaf_hmm,matched_train,12,0.3713910547974875,0.07363634831580526,0.05654127638176859,0.021116595290760917,0.22947695278021815,0.13142334743887946,0.1439928315188696,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,2.0,privsaf_mixture,matched_train,12,0.4410456431394845,0.027009370283496315,0.06634145030514808,0.023076222411749964,0.22947695278021815,0.13142334743887946,0.23353535353535357,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,2.0,ldp_distribution_surprise,matched_train,12,0.46943957115009743,0.03027506886502224,0.0733053534667845,0.02645391257767433,0.22642911776097377,0.13468844139391992,,,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,2.0,ldp_window_glr,matched_train,12,0.48260398053389647,0.12240179197006978,0.08500472361951868,0.037346530903339975,0.22642911776097377,0.13468844139391992,0.1070138888888889,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,2.0,privsaf_hmm,matched_train,12,0.349414189408707,0.07325204485947585,0.055131634066977166,0.022019709079465235,0.22642911776097377,0.13468844139391992,0.12017404414983322,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,2.0,privsaf_mixture,matched_train,12,0.49516616580030326,0.035808672298385635,0.0761171636139233,0.028162339988822574,0.22642911776097377,0.13468844139391992,0.26606060606060605,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,2.0,ldp_distribution_surprise,matched_train,12,0.3072641190166775,0.022085128291573986,0.053241738613162136,0.018647387428158645,0.2553347779058968,0.16200722225669412,,,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,2.0,ldp_window_glr,matched_train,12,0.3772381957981373,0.13286513272734302,0.06854610097486975,0.02838876344287925,0.2553347779058968,0.16200722225669412,0.12104166666666666,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,2.0,privsaf_hmm,matched_train,12,0.20309653860732077,0.08262825135042921,0.045066787390494835,0.016059570476474914,0.2553347779058968,0.16200722225669412,0.054293658152863467,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,2.0,privsaf_mixture,matched_train,12,0.30772132878492525,0.025691398071080233,0.0536240468847659,0.018599792304278856,0.2553347779058968,0.16200722225669412,0.15512626262626264,0.0,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,2.0,ldp_distribution_surprise,matched_train,12,0.4192506294671865,0.025819574727968565,0.06586714932473071,0.02366692104066578,0.21367108038317753,0.1221860594519572,,,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,2.0,ldp_window_glr,matched_train,12,0.5107576449805068,0.10247298482993072,0.1284694065327502,0.08444310556149752,0.21367108038317753,0.1221860594519572,0.11902777777777777,0.08333333333333333,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,2.0,privsaf_hmm,matched_train,12,0.5037637061403508,0.2954219040078334,0.1777705903101375,0.21241865297340082,0.21367108038317753,0.1221860594519572,0.0166765491199442,0.25,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,2.0,privsaf_mixture,matched_train,12,0.4663187337556855,0.1042817950635628,0.07441732417377694,0.03533852642897158,0.21367108038317753,0.1221860594519572,0.04262626262626263,0.0,0.075,12,24
nab,value,segment_stuck,min_tv_column,2.0,ldp_distribution_surprise,matched_train,12,0.41691427401451153,0.025757602847413616,0.06518872775724786,0.023453499064657716,0.20021654734957375,0.101661624381285,,,0.075,12,24
nab,value,segment_stuck,min_tv_column,2.0,ldp_window_glr,matched_train,12,0.40299184738466537,0.08042075978598688,0.0635625549824902,0.02158333514693891,0.20021654734957375,0.101661624381285,0.10333333333333332,0.0,0.075,12,24
nab,value,segment_stuck,min_tv_column,2.0,privsaf_hmm,matched_train,12,0.4056218526640676,0.053358390026200145,0.05942177260924652,0.023097128721269372,0.20021654734957375,0.101661624381285,0.07861237090492933,0.0,0.075,12,24
nab,value,segment_stuck,min_tv_column,2.0,privsaf_mixture,matched_train,12,0.454249123483864,0.04278765047014781,0.06960222178379458,0.02472389175653901,0.20021654734957375,0.101661624381285,0.09636363636363636,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,ldp_distribution_surprise,matched_train,12,0.4830166538065844,0.028810543356443053,0.07483089809732342,0.025608645850227627,0.05857549345130747,0.012126946588602245,,,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,ldp_window_glr,matched_train,12,0.507498832439896,0.14447727206085204,0.11718248256286584,0.1099052012909356,0.05857549345130747,0.012126946588602245,0.109375,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,privsaf_hmm,matched_train,12,0.49775845381199907,0.13063997186997778,0.08792909158931382,0.060211099614313555,0.05857549345130747,0.012126946588602245,0.034375916046035036,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,privsaf_mixture,matched_train,12,0.49820799829434703,0.03094145125749967,0.07463325429972024,0.026037321495192094,0.05857549345130747,0.012126946588602245,0.35724747474747476,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,mode_bucket,0.5,ldp_distribution_surprise,matched_train,12,0.4928550397985705,0.03339615083183393,0.07694119809766371,0.027247048994049415,0.0618797468622605,0.013748582236120176,,,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,mode_bucket,0.5,ldp_window_glr,matched_train,12,0.5197724442278536,0.1325959499167001,0.12366282871225699,0.08297397255274123,0.0618797468622605,0.013748582236120176,0.11236111111111112,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,mode_bucket,0.5,privsaf_hmm,matched_train,12,0.4962682410114793,0.1625837824666174,0.10308471077579685,0.09062052464185756,0.0618797468622605,0.013748582236120176,0.021953587083100957,0.25,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,mode_bucket,0.5,privsaf_mixture,matched_train,12,0.5137957209768248,0.0393059356526733,0.07738376955974059,0.02616567430952102,0.0618797468622605,0.013748582236120176,0.4199747474747475,0.08333333333333333,0.075,12,24
bike_sharing,cnt,segment_stuck,mode_bucket,0.5,ldp_distribution_surprise,matched_train,12,0.46369251881633095,0.03010450850834767,0.07178875279983439,0.025655102397042995,0.06761889971653454,0.014690924578016273,,,0.075,12,24
bike_sharing,cnt,segment_stuck,mode_bucket,0.5,ldp_window_glr,matched_train,12,0.464521046539961,0.1283201364685976,0.0845432810797118,0.029003971471068837,0.06761889971653454,0.014690924578016273,0.11763888888888889,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,mode_bucket,0.5,privsaf_hmm,matched_train,12,0.3784574669698939,0.14671467852963416,0.060548812427069214,0.023774823269541036,0.06761889971653454,0.014690924578016273,0.037968530596860665,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,mode_bucket,0.5,privsaf_mixture,matched_train,12,0.4495385768626814,0.03307719121151797,0.06810003542587016,0.023694881167915096,0.06761889971653454,0.014690924578016273,0.2039141414141414,0.0,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,mode_bucket,0.5,ldp_distribution_surprise,matched_train,12,0.47791379006930906,0.02932483603385456,0.07501169324955259,0.02706071189683287,0.04486512362122149,0.007531073861252009,,,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,mode_bucket,0.5,ldp_window_glr,matched_train,12,0.5204042803768681,0.09571195113444081,0.10121662515882014,0.03840626082151339,0.04486512362122149,0.007531073861252009,0.11527777777777777,0.0,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,mode_bucket,0.5,privsaf_hmm,matched_train,12,0.5396927794022092,0.12114643185252978,0.09887987588645945,0.05712265149845919,0.04486512362122149,0.007531073861252009,0.01088606416722968,0.0,0.075,12,24
