panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,fault_rows,fault_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_bucket,estimated_fault_rate,runtime_sec
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,2,privsaf_hmm_global,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.5080154235608291,0.033126121496607236,0.0231990231990232,0.015873015873015872,25,0.15836070275118852,0.8686626999988221
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,2,privsaf_hmm_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.6891390479838864,0.05893281394838833,0.0695970695970696,0.031135531135531136,21,0.6120338512713035,0.8284034000098472
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,0,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.42254065397796836,0.03025117708617863,0.026251526251526252,0.015873015873015872,16,0.1831517729265223,0.006254399995668791
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,0,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.8817399712458666,0.2187905142006097,0.3553113553113553,0.231990231990232,19,0.20001302026821752,0.16354680000222288
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,0,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.9651404206349757,0.6724431364952907,0.9157509157509157,0.7136752136752137,4,0.20001302026821752,0.7643703000067035
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,0,generic_pm_hmm,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.6334250567780404,0.046315472012866815,0.005494505494505495,0.004273504273504274,22,0.3296899167603306,4.607535599992843
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,0,privsaf_mixture,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.7223518251666032,0.09396077631825608,0.34065934065934067,0.16971916971916973,19,0.02393939393939394,0.021891799988225102
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,0,privsaf_hmm_global,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.359525600750513,0.02501401987615457,0.0030525030525030525,0.002442002442002442,24,0.11956716919150216,0.9351114000019152
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,0,privsaf_hmm_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.7025076157354981,0.05912619639991219,0.03540903540903541,0.017094017094017096,19,0.845061152936941,0.8489047999901231
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,1,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.42377022671325615,0.03025738404047628,0.026251526251526252,0.019536019536019536,16,0.18404149125471986,0.006514200009405613
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,1,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.8802553410149487,0.22298818998526848,0.34615384615384615,0.22344322344322345,19,0.20001302026821752,0.1462312999938149
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,1,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.9528491850852575,0.6100089628337305,0.9072039072039072,0.7533577533577533,5,0.1997309144568378,0.7838685999886366
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,1,generic_pm_hmm,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.6313266154639567,0.045914257475528415,0.006105006105006105,0.004884004884004884,22,0.3284823176348879,4.4015350000117905
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,1,privsaf_mixture,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.7250124012229133,0.09242130375918542,0.3253968253968254,0.15445665445665446,19,0.02393939393939394,0.014992500000516884
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,1,privsaf_hmm_global,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.3633852547316683,0.025183070223629662,0.002442002442002442,0.0,25,0.11088185560455432,0.8875269999989541
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,1,privsaf_hmm_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.7023810622721612,0.05786408367582568,0.023809523809523808,0.01282051282051282,19,0.8375889812800997,0.9389702000044053
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,2,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.41574977562962445,0.03016231912427746,0.030525030525030524,0.02442002442002442,16,0.18523501584132634,0.0067276000045239925
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,2,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.8743163805264426,0.2163744923503742,0.3327228327228327,0.22893772893772893,19,0.20001302026821752,0.15344170000753365
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,2,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.9652563558602618,0.667995678514228,0.9163614163614163,0.7478632478632479,4,0.19983941669198385,0.7710037999931956
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,4.0,2,generic_pm_hmm,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.6072701798446556,0.04238355214200551,0.013431013431013432,0.004884004884004884,22,0.3194426943181431,4.611592800007202
