panel,tier,method,epsilon,buckets,cases,runs,total_test_rows,total_fault_rows,pooled_prevalence,mean_precision_at_top_1pct,precision_at_top_1pct_ci95_low,precision_at_top_1pct_ci95_high,lift_top_1pct_vs_prevalence,mean_precision_at_top_5pct,precision_at_top_5pct_ci95_low,precision_at_top_5pct_ci95_high,lift_top_5pct_vs_prevalence,mean_recall_at_5pct_fpr
coops_verified_flat_full_protocol,support_ge_25,privsaf_hmm_fixed_prior,2.0,24,7,14,49920,4247,0.0850761217948718,0.1231263817884287,0.02818368170180537,0.26647129538920583,1.4472495829711234,0.0922354045437233,0.020745114879470512,0.20018699916006447,1.0841514939540067,0.13691532268238324
coops_verified_flat_full_protocol,support_ge_25,channel_window_glr_5,2.0,24,7,14,49920,4247,0.0850761217948718,0.11164028405499622,0.0070578231292517,0.26894937886409104,1.312239929367886,0.08853946751114239,0.005790542023260917,0.21497407361164708,1.0407087869451914,0.05203757996088151
coops_verified_flat_full_protocol,support_ge_25,report_frequency,2.0,24,7,14,49920,4247,0.0850761217948718,0.03147176646643598,0.002976190476190476,0.07039128680919726,0.36992478973498566,0.0819914543496301,0.008286165782590381,0.19056305317826056,0.9637422653952282,0.060093081604237326
coops_verified_flat_full_protocol,support_ge_25,channel_point_glr,2.0,24,7,14,49920,4247,0.0850761217948718,0.02176409961591198,0.002012471655328798,0.05059443772130339,0.25581913181688865,0.0824943909710714,0.0025683298903543617,0.2028376673249945,0.9696538726809241,0.033914737567989996
coops_verified_flat_full_protocol,support_ge_25,channel_window_glr_5,4.0,24,7,14,49920,4247,0.0850761217948718,0.0867429262951651,0.0,0.20188151904569815,1.0195919191557903,0.08877686595587438,0.001423097974822113,0.21751472094214028,1.0434992108587824,0.03754739044050233
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r2_fixed_prior,4.0,24,7,14,49920,4247,0.0850761217948718,0.0850717455195067,0.002895752895752896,0.19923068057396415,0.999948560474164,0.08091385237817782,0.007261595776612462,0.18967888230561042,0.9510759384786053,0.06234647022733896
coops_verified_flat_full_protocol,support_ge_25,privsaf_hmm_fixed_prior,4.0,24,7,14,49920,4247,0.0850761217948718,0.07853808728009155,0.00885273028130171,0.175862963176396,0.9231507692541018,0.08958583989769434,0.011970358221152754,0.21321456001755543,1.0530080357176599,0.09774493312447108
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r1_fixed_prior,4.0,24,7,14,49920,4247,0.0850761217948718,0.07471330605658964,0.0019305019305019305,0.17316890451218808,0.8781936045078773,0.08279919865610315,0.007700449479012962,0.19917709019091506,0.9732366368996159,0.0696584087289932
coops_verified_flat_full_protocol,support_ge_25,report_frequency,4.0,24,7,14,49920,4247,0.0850761217948718,0.005330490405117271,0.0,0.01599147121535181,0.06265554062242858,0.09703932184664744,0.009721213290655529,0.2350491002852754,1.1406175998551071,0.08470310118178591
coops_verified_flat_full_protocol,support_ge_25,channel_point_glr,4.0,24,7,14,49920,4247,0.0850761217948718,0.005330490405117271,0.0,0.01599147121535181,0.06265554062242858,0.09184080194925578,0.004070660522273425,0.22326091727013386,1.0795132642587353,0.05239308315748218
